id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,3682,False,False,35.930089473724365
FB_MF_001,2,1,False,False,43.48635697364807
FB_MF_002,9,1,False,False,36.82486152648926
FB_MF_003,2,2258,False,False,46.33517837524414
FB_MF_004,2,1,False,False,32.64483332633972
FB_MF_005,9,1,False,False,33.834155559539795
FB_MF_006,6,3788,False,False,42.299909353256226
FB_MF_007,3,1,False,False,39.55122709274292
FB_MF_008,1,2918,False,False,30.780659914016724
FB_MF_009,13,1,False,False,35.899184465408325
FB_MF_010,5,1,False,False,47.16052770614624
FB_MF_011,1,1,True,False,23.445547103881836
FB_MF_012,2,1,False,False,30.701788663864136
FB_MF_013,46,423,False,False,58.58227586746216
FB_MF_014,1,993,False,False,39.51041650772095
FB_MF_015,1,1,True,False,27.345701932907104
FB_MF_016,53,2201,False,False,39.20546865463257
FB_MF_017,6,1,False,False,98.6537070274353
FB_MF_018,4,1,False,False,25.46129584312439
FB_MF_019,7,3803,False,False,32.43888783454895
FB_MF_020,10,1,False,False,23.98195481300354
FB_MF_021,10,1,False,False,29.155900955200195
FB_MF_022,1,2719,False,False,28.822418451309204
FB_MF_023,7,1,False,False,36.380637884140015
FB_MF_024,5,1,False,False,44.38279891014099
FB_MF_025,21,3687,False,False,35.64574646949768
FB_MF_026,2,3412,False,False,28.441929578781128
FB_MF_027,7,1,False,False,25.992971420288086
FB_MF_028,13,263,False,False,42.36503076553345
FB_MF_029,12,3971,False,False,20.378148317337036
FB_MF_030,9,657,False,False,51.23123598098755
FB_MF_031,20,1932,False,False,28.666977882385254
FB_MF_032,9,1,False,False,39.31261134147644
FB_MF_033,2,1,False,False,51.8197386264801
FB_MF_034,13,1,False,False,28.266608715057373
FB_MF_035,3,1,False,False,45.79324245452881
FB_MF_036,5,1085,False,False,30.64387845993042
FB_MF_037,26,1689,False,False,41.419312953948975
FB_MF_038,3,3437,False,False,30.286348819732666
FB_MF_039,10,2425,False,False,61.47373175621033
FB_MF_040,7,1,False,False,61.12307906150818
FB_MF_041,1,957,False,False,44.61326861381531
FB_MF_042,9,2338,False,False,30.274889707565308
FB_MF_043,3,1,False,False,32.6652557849884
FB_MF_044,9,1,False,False,56.62859392166138
FB_MF_045,10,1,False,False,35.546876430511475
FB_MF_046,16,2629,False,False,19.45666265487671
FB_MF_047,8,1,False,False,24.461533784866333
FB_MF_048,9,1,False,False,58.01534461975098
FB_MF_049,10,1,False,False,34.81396293640137
