id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,28,False,False,7.301725149154663
FB_MF_001,2,2685,False,False,37.29026222229004
FB_MF_002,9,2543,False,False,6.065470218658447
FB_MF_003,2,2258,False,False,6.473227262496948
FB_MF_004,2,3959,False,False,5.770587682723999
FB_MF_005,9,816,False,False,9.546100616455078
FB_MF_006,6,3788,False,False,14.755382299423218
FB_MF_007,3,1914,False,False,6.032901763916016
FB_MF_008,1,2918,False,False,6.264180421829224
FB_MF_009,13,3448,False,False,34.858274936676025
FB_MF_010,5,3136,False,False,8.236869812011719
FB_MF_011,1,3588,False,False,8.409158945083618
FB_MF_012,2,265,False,False,5.855823755264282
FB_MF_013,46,423,False,False,16.5744309425354
FB_MF_014,1,993,False,False,12.614320993423462
FB_MF_015,1,1999,False,False,12.18377423286438
FB_MF_016,53,2201,False,False,8.030646562576294
FB_MF_017,6,1808,False,False,43.866244316101074
FB_MF_018,4,3640,False,False,5.694333553314209
FB_MF_019,7,3803,False,False,5.82318902015686
FB_MF_020,10,1203,False,False,7.858716726303101
FB_MF_021,10,2688,False,False,5.30647611618042
FB_MF_022,1,2719,False,False,8.998748779296875
FB_MF_023,7,1932,False,False,6.056026458740234
FB_MF_024,5,3069,False,False,4.991882085800171
FB_MF_025,21,3687,False,False,8.150459051132202
FB_MF_026,2,3412,False,False,5.001611232757568
FB_MF_027,7,2103,False,False,10.908125162124634
FB_MF_028,13,263,False,False,9.913938760757446
FB_MF_029,12,3971,False,False,51.188973903656006
FB_MF_030,9,657,False,False,25.07911205291748
FB_MF_031,20,1932,False,False,7.533897399902344
FB_MF_032,9,975,False,False,5.084866762161255
FB_MF_033,2,1365,False,False,5.538241386413574
FB_MF_034,13,4000,False,False,6.834678649902344
FB_MF_035,3,347,False,False,25.1026930809021
FB_MF_036,5,1085,False,False,38.889512062072754
FB_MF_037,26,1689,False,False,6.4706408977508545
FB_MF_038,3,3706,False,False,6.898126602172852
FB_MF_039,10,2425,False,False,6.971984148025513
FB_MF_040,7,2718,False,False,6.4679529666900635
FB_MF_041,1,957,False,False,5.018999338150024
FB_MF_042,9,2338,False,False,19.43953776359558
FB_MF_043,3,3561,False,False,6.029659986495972
FB_MF_044,9,2319,False,False,5.604430198669434
FB_MF_045,10,1120,False,False,33.20565891265869
FB_MF_046,16,2629,False,False,6.999613285064697
FB_MF_047,8,2366,False,False,5.5891218185424805
FB_MF_048,9,3,False,False,5.849713325500488
FB_MF_049,10,3724,False,False,8.784043788909912
