id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,3682,False,False,2.9234259128570557
FB_MF_001,2,2685,False,False,2.858686685562134
FB_MF_002,9,2543,False,False,2.898271083831787
FB_MF_003,2,2258,False,False,2.9391844272613525
FB_MF_004,2,3959,False,False,2.748518466949463
FB_MF_005,9,816,False,False,2.973109483718872
FB_MF_006,6,3788,False,False,2.854259967803955
FB_MF_007,3,1914,False,False,2.907803535461426
FB_MF_008,1,2918,False,False,3.066088914871216
FB_MF_009,13,3448,False,False,2.7918717861175537
FB_MF_010,5,3136,False,False,3.182673692703247
FB_MF_011,1,3588,False,False,3.0299606323242188
FB_MF_012,2,265,False,False,2.903843402862549
FB_MF_013,46,423,False,False,3.417572021484375
FB_MF_014,1,993,False,False,3.078660011291504
FB_MF_015,1,1999,False,False,3.696910858154297
FB_MF_016,53,2201,False,False,3.2246668338775635
FB_MF_017,6,1808,False,False,2.984982490539551
FB_MF_018,4,3640,False,False,2.851027727127075
FB_MF_019,7,3803,False,False,5.73419976234436
FB_MF_020,10,1203,False,False,3.5964174270629883
FB_MF_021,10,2688,False,False,2.8034167289733887
FB_MF_022,1,2719,False,False,2.9590611457824707
FB_MF_023,7,1932,False,False,3.6790242195129395
FB_MF_024,5,3069,False,False,2.7852225303649902
FB_MF_025,21,3687,False,False,2.9589948654174805
FB_MF_026,2,3412,False,False,5.2310264110565186
FB_MF_027,7,2103,False,False,2.8871541023254395
FB_MF_028,13,263,False,False,2.802264928817749
FB_MF_029,12,3971,False,False,2.8154056072235107
FB_MF_030,9,657,False,False,2.8762691020965576
FB_MF_031,20,1932,False,False,3.1857173442840576
FB_MF_032,9,975,False,False,2.8371670246124268
FB_MF_033,2,1365,False,False,2.9358937740325928
FB_MF_034,13,4000,False,False,3.091403007507324
FB_MF_035,3,7,False,False,5.817338705062866
FB_MF_036,5,1085,False,False,2.825685739517212
FB_MF_037,26,1689,False,False,2.9445531368255615
FB_MF_038,3,3706,False,False,3.1736700534820557
FB_MF_039,10,2425,False,False,3.051349401473999
FB_MF_040,7,3201,False,False,2.8687610626220703
FB_MF_041,1,957,False,False,2.73484468460083
FB_MF_042,9,2338,False,False,3.11531138420105
FB_MF_043,3,3561,False,False,2.9066059589385986
FB_MF_044,9,2319,False,False,3.0075595378875732
FB_MF_045,10,1120,False,False,3.5193095207214355
FB_MF_046,16,2629,False,False,3.0013959407806396
FB_MF_047,8,2366,False,False,3.562655210494995
FB_MF_048,9,3,False,False,2.7800238132476807
FB_MF_049,10,3724,False,False,3.0782101154327393
