id,gt,pred,correct,invalid,elapsed
FB_MF_000,8,12,False,False,2.617027759552002
FB_MF_001,2,10,False,False,2.623222827911377
FB_MF_002,9,12,False,False,2.6317741870880127
FB_MF_003,2,20,False,False,2.724475622177124
FB_MF_004,2,20,False,False,2.489529609680176
FB_MF_005,9,24,False,False,2.7938995361328125
FB_MF_006,6,52,False,False,2.604274034500122
FB_MF_007,3,1914,False,False,2.920943260192871
FB_MF_008,1,65,False,False,2.6015048027038574
FB_MF_009,13,3448,False,False,2.7179722785949707
FB_MF_010,5,20,False,False,2.9038336277008057
FB_MF_011,1,3588,False,False,3.0633339881896973
FB_MF_012,2,197,False,False,2.6834933757781982
FB_MF_013,46,423,False,False,3.3175032138824463
FB_MF_014,1,15,False,False,2.752204418182373
FB_MF_015,1,38,False,False,2.674987554550171
FB_MF_016,53,16,False,False,2.8804101943969727
FB_MF_017,6,39,False,False,2.739380359649658
FB_MF_018,4,10,False,False,2.4903006553649902
FB_MF_019,7,3803,False,False,2.7659807205200195
FB_MF_020,10,1203,False,False,2.7323341369628906
FB_MF_021,10,43,False,False,2.505892515182495
FB_MF_022,1,45,False,False,2.66438889503479
FB_MF_023,7,7,True,False,2.646221160888672
FB_MF_024,5,5,True,False,2.420166492462158
FB_MF_025,21,23,False,False,2.567657947540283
FB_MF_026,2,3412,False,False,2.6824193000793457
FB_MF_027,7,24,False,False,2.6282460689544678
FB_MF_028,13,9,False,False,2.479644298553467
FB_MF_029,12,16,False,False,2.550827980041504
FB_MF_030,9,996,False,False,2.6986243724823
FB_MF_031,20,1932,False,False,3.262371063232422
FB_MF_032,9,975,False,False,2.7790191173553467
FB_MF_033,2,15,False,False,2.574592351913452
FB_MF_034,13,56,False,False,2.8153743743896484
FB_MF_035,3,65,False,False,2.518479824066162
FB_MF_036,5,39,False,False,2.667114734649658
FB_MF_037,26,1689,False,False,3.0345351696014404
FB_MF_038,3,29,False,False,2.808314800262451
FB_MF_039,10,29,False,False,2.815793037414551
FB_MF_040,7,56,False,False,2.6599693298339844
FB_MF_041,1,8,False,False,2.4122536182403564
FB_MF_042,9,2338,False,False,3.0667483806610107
FB_MF_043,3,3561,False,False,2.913813352584839
FB_MF_044,9,40,False,False,2.552321195602417
FB_MF_045,10,44,False,False,2.484360933303833
FB_MF_046,16,78,False,False,2.829489231109619
FB_MF_047,8,24,False,False,2.649343729019165
FB_MF_048,9,3,False,False,2.74312162399292
FB_MF_049,10,67,False,False,2.8279807567596436
