id,pred,gt,correct,invalid,elapsed
FB_SP_000,1492,4,False,False,6.98815655708313
FB_SP_001,2463,1,False,False,9.148137331008911
FB_SP_002,1398,2,False,False,10.877430438995361
FB_SP_003,1190,1,False,False,10.251771211624146
FB_SP_004,2115,1,False,False,12.615829229354858
FB_SP_005,684,2,False,False,11.083484649658203
FB_SP_006,917,1,False,False,11.564920902252197
FB_SP_007,1,1,True,False,14.168246746063232
FB_SP_008,423,2,False,False,15.238334894180298
FB_SP_009,832,2,False,False,11.248621940612793
FB_SP_010,1,1,True,False,9.92046594619751
FB_SP_011,1,2,False,False,11.517613649368286
FB_SP_012,350,2,False,False,10.480769157409668
FB_SP_013,1,2,False,False,9.69851541519165
FB_SP_014,2180,1,False,False,10.688957691192627
FB_SP_015,2604,3,False,False,11.172285318374634
FB_SP_016,1,1,True,False,12.743689060211182
FB_SP_017,3346,1,False,False,17.696038722991943
FB_SP_018,947,2,False,False,10.830297946929932
FB_SP_019,1606,1,False,False,8.90605092048645
FB_SP_020,1675,1,False,False,10.52836012840271
FB_SP_021,1,1,True,False,12.77878475189209
FB_SP_022,804,1,False,False,10.574301481246948
FB_SP_023,2836,2,False,False,14.180454015731812
FB_SP_024,2082,1,False,False,8.629186630249023
FB_SP_025,2309,1,False,False,14.60214877128601
FB_SP_026,3993,2,False,False,8.853023767471313
FB_SP_027,1,3,False,False,9.489324569702148
FB_SP_028,808,5,False,False,16.602295398712158
FB_SP_029,2242,2,False,False,9.801725149154663
FB_SP_030,2059,1,False,False,13.108516454696655
FB_SP_031,1036,2,False,False,14.712332248687744
FB_SP_032,2461,3,False,False,9.921352863311768
FB_SP_033,1156,1,False,False,17.991063594818115
FB_SP_034,1,2,False,False,19.05931258201599
FB_SP_035,3425,1,False,False,10.649896383285522
FB_SP_036,2287,1,False,False,12.37465786933899
FB_SP_037,3339,3,False,False,12.563356637954712
FB_SP_038,3706,2,False,False,15.750622510910034
FB_SP_039,2937,1,False,False,11.803756713867188
FB_SP_040,2385,1,False,False,12.906625270843506
FB_SP_041,1152,2,False,False,13.491417169570923
FB_SP_042,1416,1,False,False,10.164273977279663
FB_SP_043,1810,3,False,False,13.725101232528687
FB_SP_044,1,2,False,False,13.77606463432312
FB_SP_045,3457,4,False,False,9.21083927154541
FB_SP_046,2368,1,False,False,11.481165647506714
FB_SP_047,2734,1,False,False,14.518919229507446
FB_SP_048,3497,2,False,False,8.006802320480347
FB_SP_049,3760,1,False,False,11.540194988250732
