id,n_nodes,n_edges,connected,status
FB_CONN_000,20,16,False,ok
FB_CONN_001,29,25,False,ok
FB_CONN_002,21,24,True,ok
FB_CONN_003,20,12,True,ok
FB_CONN_004,39,56,False,ok
FB_CONN_005,38,18,False,ok
FB_CONN_006,28,24,False,ok
FB_CONN_007,25,12,True,ok
FB_CONN_008,20,11,False,ok
FB_CONN_009,40,45,False,ok
FB_CONN_010,33,50,True,ok
FB_CONN_011,31,11,False,ok
FB_CONN_012,38,22,False,ok
FB_CONN_013,25,15,True,ok
FB_CONN_014,21,9,False,ok
FB_CONN_015,40,75,False,ok
FB_CONN_016,24,15,False,ok
FB_CONN_017,27,19,False,ok
FB_CONN_018,40,38,False,ok
FB_CONN_019,25,22,False,ok
FB_CONN_020,40,43,True,ok
FB_CONN_021,25,35,False,ok
FB_CONN_022,31,18,False,ok
FB_CONN_023,40,39,False,ok
FB_CONN_024,29,37,True,ok
FB_CONN_025,29,45,False,ok
FB_CONN_026,20,4,False,ok
FB_CONN_027,26,17,False,ok
FB_CONN_028,27,53,False,ok
FB_CONN_029,36,33,False,ok
FB_CONN_030,35,15,False,ok
FB_CONN_031,36,50,False,ok
FB_CONN_032,25,26,False,ok
FB_CONN_033,21,8,False,ok
FB_CONN_034,36,14,False,ok
FB_CONN_035,22,35,True,ok
FB_CONN_036,20,13,False,ok
FB_CONN_037,29,35,False,ok
FB_CONN_038,26,7,False,ok
FB_CONN_039,31,17,False,ok
FB_CONN_040,40,33,True,ok
FB_CONN_041,33,37,False,ok
FB_CONN_042,27,21,False,ok
FB_CONN_043,40,67,True,ok
FB_CONN_044,32,34,False,ok
FB_CONN_045,27,14,False,ok
FB_CONN_046,35,30,False,ok
FB_CONN_047,34,46,False,ok
FB_CONN_048,40,23,True,ok
FB_CONN_049,20,4,False,ok
