model,task,prompt,accuracy,invalid_rate,avg_latency
gpt-3.5-turbo,bipartite_matching,cot,1.0,1.0,32.08492211818695
gpt-3.5-turbo,bipartite_matching,cot_hidden,1.0,1.0,31.846933555603027
gpt-3.5-turbo,bipartite_matching,zero_shot,1.0,1.0,32.044582996368405
gpt-3.5-turbo,connectivity,cot,0.0,1.0,32.28972267150879
gpt-3.5-turbo,connectivity,cot_hidden,0.0,1.0,32.29062871932983
gpt-3.5-turbo,connectivity,zero_shot,0.0,1.0,32.16093004226685
gpt-3.5-turbo,maximum_flow,cot,0.0,1.0,31.9072393989563
gpt-3.5-turbo,maximum_flow,cot_hidden,0.0,1.0,31.944329195022583
gpt-3.5-turbo,maximum_flow,zero_shot,0.0,1.0,31.897700543403626
gpt-3.5-turbo,shortest_path,cot,0.0,1.0,32.20986886501312
gpt-3.5-turbo,shortest_path,cot_hidden,0.0,1.0,31.973666777610777
gpt-3.5-turbo,shortest_path,zero_shot,0.0,1.0,32.202741990089415
gpt-4o-mini,bipartite_matching,cot,1.0,1.0,31.98484441757202
gpt-4o-mini,bipartite_matching,cot_hidden,1.0,1.0,31.99153275966644
gpt-4o-mini,bipartite_matching,zero_shot,1.0,1.0,31.932245655059816
gpt-4o-mini,connectivity,cot,0.78,0.0,20.287448348999025
gpt-4o-mini,connectivity,cot_hidden,0.1,0.6,89.55237980365753
gpt-4o-mini,connectivity,zero_shot,0.25396825396825395,0.20634920634920634,19.69077534145779
gpt-4o-mini,maximum_flow,cot,0.0,1.0,31.974748377799987
gpt-4o-mini,maximum_flow,cot_hidden,0.0,1.0,32.12069913387299
gpt-4o-mini,maximum_flow,zero_shot,0.0,1.0,33.95200274467468
gpt-4o-mini,shortest_path,cot,0.0,0.98,136.29165925979615
gpt-4o-mini,shortest_path,cot_hidden,0.0,1.0,138.15595819950104
gpt-4o-mini,shortest_path,zero_shot,0.0,1.0,136.94825998306274
llama3.2-1b,bipartite_matching,cot,0.0,0.0,29.855247530937195
llama3.2-1b,bipartite_matching,cot_hidden,0.02,0.02,10.883586831092835
llama3.2-1b,bipartite_matching,zero_shot,0.0,0.0,10.717466583251953
llama3.2-1b,connectivity,cot,0.72,0.0,37.019381856918336
llama3.2-1b,connectivity,cot_hidden,0.7,0.02,10.069927439689636
llama3.2-1b,connectivity,zero_shot,0.8,0.02,14.377553248405457
llama3.2-1b,maximum_flow,cot,0.04,0.0,38.443055305480954
llama3.2-1b,maximum_flow,cot_hidden,0.0,0.0,20.292322974205018
llama3.2-1b,maximum_flow,zero_shot,0.0,0.0,25.445938386917113
llama3.2-1b,shortest_path,cot,0.1,0.0,31.807263917922974
llama3.2-1b,shortest_path,cot_hidden,0.04,0.0,15.081922950744628
llama3.2-1b,shortest_path,zero_shot,0.0,0.0,12.498911261558533
phi3-medium,bipartite_matching,cot,0.08,0.08,151.6981741809845
phi3-medium,bipartite_matching,cot_hidden,0.0,0.0,13.530181579589843
phi3-medium,bipartite_matching,zero_shot,0.0,0.0,17.64935110092163
phi3-medium,connectivity,cot,0.62,0.06,149.5759203338623
phi3-medium,connectivity,cot_hidden,0.34,0.0,10.2147616481781
phi3-medium,connectivity,zero_shot,0.54,0.0,10.133466634750366
phi3-medium,maximum_flow,cot,0.08,0.0,125.95834647655487
phi3-medium,maximum_flow,cot_hidden,0.0,0.0,12.054934606552123
phi3-medium,maximum_flow,zero_shot,0.0,0.0,12.348286948204041
phi3-medium,shortest_path,cot,0.12,0.02,145.66392029762267
phi3-medium,shortest_path,cot_hidden,0.02,0.0,7.8784533214569095
phi3-medium,shortest_path,zero_shot,0.02,0.0,11.757198328971862
qwen2.5-3b,bipartite_matching,cot,0.0,0.0,17.698677325248717
qwen2.5-3b,bipartite_matching,cot_hidden,0.0,0.0,5.243984146118164
qwen2.5-3b,bipartite_matching,zero_shot,0.0,0.0,3.637831063270569
qwen2.5-3b,connectivity,cot,0.76,0.0,9.29567373275757
qwen2.5-3b,connectivity,cot_hidden,0.8,0.0,3.4664747095108033
qwen2.5-3b,connectivity,zero_shot,0.7,0.0,3.104253344535828
qwen2.5-3b,maximum_flow,cot,0.06,0.0,15.116691341400147
qwen2.5-3b,maximum_flow,cot_hidden,0.0,0.0,3.1779486036300657
qwen2.5-3b,maximum_flow,zero_shot,0.04,0.0,2.719749436378479
qwen2.5-3b,shortest_path,cot,0.08,0.0,11.992709879875184
qwen2.5-3b,shortest_path,cot_hidden,0.0,0.0,3.103900837898254
qwen2.5-3b,shortest_path,zero_shot,0.06,0.0,2.5571146392822266
